Date,Expiry,Strike,Option Type,ClosePrice,OpenInterest
25-01-2022,27-01-2022,17500,CE,276.67,406680
25-01-2022,27-01-2022,17500,PE,346.84,10217
25-01-2022,27-01-2022,17550,CE,358.59,418702
25-01-2022,27-01-2022,17550,PE,12.29,125534
25-01-2022,27-01-2022,17600,CE,230.9,198364
25-01-2022,27-01-2022,17600,PE,34.19,399182
26-01-2022,27-01-2022,16600,CE,300.96,164698
26-01-2022,27-01-2022,16600,PE,111.34,77462
26-01-2022,27-01-2022,16650,CE,374.86,486572
26-01-2022,27-01-2022,16650,PE,33.67,65492
26-01-2022,27-01-2022,16700,CE,113.93,136837
26-01-2022,27-01-2022,16700,PE,178,232320
26-01-2022,27-01-2022,16750,CE,212.8,19053
26-01-2022,27-01-2022,16750,PE,39.93,435521
26-01-2022,27-01-2022,16800,CE,255.74,31718
26-01-2022,27-01-2022,16800,PE,342.17,460066
27-01-2022,27-01-2022,17300,CE,300.42,209323
27-01-2022,27-01-2022,17300,PE,127.05,388551
27-01-2022,27-01-2022,17350,CE,386.23,263684
27-01-2022,27-01-2022,17350,PE,16.76,10482
27-01-2022,27-01-2022,17400,CE,145.17,317308
27-01-2022,27-01-2022,17400,PE,389.53,102797
27-01-2022,27-01-2022,17450,CE,374.92,406884
27-01-2022,27-01-2022,17450,PE,104.75,42404
27-01-2022,27-01-2022,17500,CE,147.99,160514
27-01-2022,27-01-2022,17500,PE,103,307576
28-01-2022,03-02-2022,19150,CE,286.65,138721
28-01-2022,03-02-2022,19150,PE,290.12,369108
28-01-2022,03-02-2022,19200,CE,27.48,241939
28-01-2022,03-02-2022,19200,PE,192.9,205041
28-01-2022,03-02-2022,19250,CE,209.41,389587
28-01-2022,03-02-2022,19250,PE,398.77,142721
28-01-2022,03-02-2022,19300,CE,254.64,321246
28-01-2022,03-02-2022,19300,PE,137.87,459251
28-01-2022,03-02-2022,19350,CE,214.12,266292
28-01-2022,03-02-2022,19350,PE,316.91,465046
31-01-2022,03-02-2022,19900,CE,137.7,37573
31-01-2022,03-02-2022,19900,PE,281.39,95263
31-01-2022,03-02-2022,19950,CE,133.6,408374
31-01-2022,03-02-2022,19950,PE,71.3,386147
31-01-2022,03-02-2022,20000,CE,24.55,477774
31-01-2022,03-02-2022,20000,PE,312.47,321119
31-01-2022,03-02-2022,20050,CE,208.57,117830
31-01-2022,03-02-2022,20050,PE,90.03,267202
31-01-2022,03-02-2022,20100,CE,137.4,41175
31-01-2022,03-02-2022,20100,PE,35.51,147252
01-02-2022,03-02-2022,18400,CE,216.09,172019
01-02-2022,03-02-2022,18400,PE,212.85,51304
01-02-2022,03-02-2022,18450,CE,258.61,409527
01-02-2022,03-02-2022,18450,PE,206.05,206092
01-02-2022,03-02-2022,18500,CE,36.23,260846
01-02-2022,03-02-2022,18500,PE,163.67,482490
01-02-2022,03-02-2022,18550,CE,128.33,466005
01-02-2022,03-02-2022,18550,PE,259.19,130019
01-02-2022,03-02-2022,18600,CE,380.22,98952
01-02-2022,03-02-2022,18600,PE,342.76,287826
02-02-2022,03-02-2022,13150,CE,98.65,464933
02-02-2022,03-02-2022,13150,PE,38.31,172476
02-02-2022,03-02-2022,13200,CE,192.27,247214
02-02-2022,03-02-2022,13200,PE,370.85,221945
02-02-2022,03-02-2022,13250,CE,289.15,251391
02-02-2022,03-02-2022,13250,PE,83.69,468086
02-02-2022,03-02-2022,13300,CE,320.75,308468
02-02-2022,03-02-2022,13300,PE,388.96,431123
02-02-2022,03-02-2022,13350,CE,144.64,420517
02-02-2022,03-02-2022,13350,PE,65.99,112786
03-02-2022,03-02-2022,17800,CE,34.6,258298
03-02-2022,03-02-2022,17800,PE,183.95,454322
03-02-2022,03-02-2022,17850,CE,254.03,466047
03-02-2022,03-02-2022,17850,PE,47.3,440591
03-02-2022,03-02-2022,17900,CE,226.98,373191
03-02-2022,03-02-2022,17900,PE,131.92,389235
03-02-2022,03-02-2022,17950,CE,70.16,389606
03-02-2022,03-02-2022,17950,PE,244.28,475744
03-02-2022,03-02-2022,18000,CE,104.14,437608
03-02-2022,03-02-2022,18000,PE,125.78,413096
04-02-2022,10-02-2022,17600,CE,42.71,297876
04-02-2022,10-02-2022,17600,PE,355.97,292948
04-02-2022,10-02-2022,17650,CE,115.04,473976
04-02-2022,10-02-2022,17650,PE,353.31,124050
04-02-2022,10-02-2022,17700,CE,222.79,322171
04-02-2022,10-02-2022,17700,PE,353.74,251858
04-02-2022,10-02-2022,17750,CE,198.27,54076
04-02-2022,10-02-2022,17750,PE,232.73,82913
04-02-2022,10-02-2022,17800,CE,157.31,162782
04-02-2022,10-02-2022,17800,PE,159.27,134529
07-02-2022,10-02-2022,17700,CE,143.25,162110
07-02-2022,10-02-2022,17700,PE,326.15,442512
07-02-2022,10-02-2022,17750,CE,384.89,81206
07-02-2022,10-02-2022,17750,PE,41.73,439996
07-02-2022,10-02-2022,17800,CE,358.93,325055
07-02-2022,10-02-2022,17800,PE,287.17,154315
07-02-2022,10-02-2022,17850,CE,219.56,141423
07-02-2022,10-02-2022,17850,PE,213.7,88133
07-02-2022,10-02-2022,17900,CE,78.33,90286
07-02-2022,10-02-2022,17900,PE,393.15,319371
08-02-2022,10-02-2022,17650,CE,347.12,256284
08-02-2022,10-02-2022,17650,PE,342.39,276786
08-02-2022,10-02-2022,17700,CE,101.1,41923
08-02-2022,10-02-2022,17700,PE,301.42,136339
08-02-2022,10-02-2022,17750,CE,166.85,466779
08-02-2022,10-02-2022,17750,PE,173.73,32122
08-02-2022,10-02-2022,17800,CE,218.02,360996
08-02-2022,10-02-2022,17800,PE,354.94,133011
08-02-2022,10-02-2022,17850,CE,305.9,391320
08-02-2022,10-02-2022,17850,PE,298.13,419311
09-02-2022,10-02-2022,19950,CE,154.87,267140
09-02-2022,10-02-2022,19950,PE,321.59,431101
09-02-2022,10-02-2022,20000,CE,93.72,47817
09-02-2022,10-02-2022,20000,PE,142.05,435876
09-02-2022,10-02-2022,20050,CE,301.42,216197
09-02-2022,10-02-2022,20050,PE,162.29,196601
09-02-2022,10-02-2022,20100,CE,91.98,268912
09-02-2022,10-02-2022,20100,PE,373.79,386230
09-02-2022,10-02-2022,20150,CE,174.59,85729
09-02-2022,10-02-2022,20150,PE,281,422406
10-02-2022,10-02-2022,20400,CE,144.13,213754
10-02-2022,10-02-2022,20400,PE,375.34,443743
10-02-2022,10-02-2022,20450,CE,379.35,306564
10-02-2022,10-02-2022,20450,PE,11.38,285027
10-02-2022,10-02-2022,20500,CE,279.56,84994
10-02-2022,10-02-2022,20500,PE,297.01,288169
10-02-2022,10-02-2022,20550,CE,234.31,100726
10-02-2022,10-02-2022,20550,PE,233.72,463438
10-02-2022,10-02-2022,20600,CE,285.17,170478
10-02-2022,10-02-2022,20600,PE,15.19,346591
11-02-2022,17-02-2022,16200,CE,289.44,30939
11-02-2022,17-02-2022,16200,PE,178.62,72637
11-02-2022,17-02-2022,16250,CE,157.41,350999
11-02-2022,17-02-2022,16250,PE,217.75,90189
11-02-2022,17-02-2022,16300,CE,125.48,228791
11-02-2022,17-02-2022,16300,PE,279.76,126736
11-02-2022,17-02-2022,16350,CE,329.22,305820
11-02-2022,17-02-2022,16350,PE,282.41,10773
11-02-2022,17-02-2022,16400,CE,330.84,446175
11-02-2022,17-02-2022,16400,PE,346.93,21908
14-02-2022,17-02-2022,17250,CE,183.6,241751
14-02-2022,17-02-2022,17250,PE,399.5,445047
14-02-2022,17-02-2022,17300,CE,69.86,355318
14-02-2022,17-02-2022,17300,PE,263.46,254686
14-02-2022,17-02-2022,17350,CE,290.44,351598
14-02-2022,17-02-2022,17350,PE,277.35,236376
14-02-2022,17-02-2022,17400,CE,152.76,222456
14-02-2022,17-02-2022,17400,PE,376.89,46394
14-02-2022,17-02-2022,17450,CE,138.32,119256
14-02-2022,17-02-2022,17450,PE,280.02,167733
15-02-2022,17-02-2022,14650,CE,263.34,171809
15-02-2022,17-02-2022,14650,PE,202.2,54123
15-02-2022,17-02-2022,14700,CE,47.58,56585
15-02-2022,17-02-2022,14700,PE,342.43,11784
15-02-2022,17-02-2022,14750,CE,19,21664
15-02-2022,17-02-2022,14750,PE,119.68,266756
15-02-2022,17-02-2022,14800,CE,102.18,234713
15-02-2022,17-02-2022,14800,PE,330.07,166634
15-02-2022,17-02-2022,14850,CE,21.17,279245
15-02-2022,17-02-2022,14850,PE,36.7,309414
16-02-2022,17-02-2022,20750,CE,299.67,425712
16-02-2022,17-02-2022,20750,PE,105.12,44183
16-02-2022,17-02-2022,20800,CE,200.5,305949
16-02-2022,17-02-2022,20800,PE,302.98,420583
16-02-2022,17-02-2022,20850,CE,194.36,214251
16-02-2022,17-02-2022,20850,PE,291.99,459423
16-02-2022,17-02-2022,20900,CE,129.34,172732
16-02-2022,17-02-2022,20900,PE,326.53,261008
16-02-2022,17-02-2022,20950,CE,381.69,427246
16-02-2022,17-02-2022,20950,PE,335.78,87626
17-02-2022,17-02-2022,14050,CE,395.71,378255
17-02-2022,17-02-2022,14050,PE,144.19,379134
17-02-2022,17-02-2022,14100,CE,258.14,474026
17-02-2022,17-02-2022,14100,PE,250.45,323791
17-02-2022,17-02-2022,14150,CE,72.87,386831
17-02-2022,17-02-2022,14150,PE,16.14,489556
17-02-2022,17-02-2022,14200,CE,207.12,497481
17-02-2022,17-02-2022,14200,PE,297.99,275759
17-02-2022,17-02-2022,14250,CE,339.16,75480
17-02-2022,17-02-2022,14250,PE,288,204110
18-02-2022,24-02-2022,18400,CE,384.58,477706
18-02-2022,24-02-2022,18400,PE,289.53,311336
18-02-2022,24-02-2022,18450,CE,21.79,92752
18-02-2022,24-02-2022,18450,PE,40.84,120369
18-02-2022,24-02-2022,18500,CE,323.37,247646
18-02-2022,24-02-2022,18500,PE,137.45,408785
18-02-2022,24-02-2022,18550,CE,377.72,305089
18-02-2022,24-02-2022,18550,PE,120.8,145948
18-02-2022,24-02-2022,18600,CE,229.44,422655
18-02-2022,24-02-2022,18600,PE,177.73,219631
21-02-2022,24-02-2022,16150,CE,358.08,495456
21-02-2022,24-02-2022,16150,PE,370.96,304237
21-02-2022,24-02-2022,16200,CE,357.83,391738
21-02-2022,24-02-2022,16200,PE,387.76,326265
21-02-2022,24-02-2022,16250,CE,42.45,220393
21-02-2022,24-02-2022,16250,PE,345.78,303455
21-02-2022,24-02-2022,16300,CE,397.37,17499
21-02-2022,24-02-2022,16300,PE,365.6,488859
21-02-2022,24-02-2022,16350,CE,194.75,440623
21-02-2022,24-02-2022,16350,PE,328.27,215451
22-02-2022,24-02-2022,17400,CE,199.42,88855
22-02-2022,24-02-2022,17400,PE,171.59,478048
22-02-2022,24-02-2022,17450,CE,147.45,366052
22-02-2022,24-02-2022,17450,PE,339.98,32001
22-02-2022,24-02-2022,17500,CE,190.39,120354
22-02-2022,24-02-2022,17500,PE,251.21,410817
22-02-2022,24-02-2022,17550,CE,343.59,242880
22-02-2022,24-02-2022,17550,PE,251.46,402054
22-02-2022,24-02-2022,17600,CE,247.01,207574
22-02-2022,24-02-2022,17600,PE,101.93,158115
23-02-2022,24-02-2022,14750,CE,128.32,74448
23-02-2022,24-02-2022,14750,PE,252.22,211871
23-02-2022,24-02-2022,14800,CE,111.73,329936
23-02-2022,24-02-2022,14800,PE,133.87,143052
23-02-2022,24-02-2022,14850,CE,248.06,356041
23-02-2022,24-02-2022,14850,PE,107.17,221665
23-02-2022,24-02-2022,14900,CE,212.37,499534
23-02-2022,24-02-2022,14900,PE,242.2,440628
23-02-2022,24-02-2022,14950,CE,135.67,481896
23-02-2022,24-02-2022,14950,PE,85.43,243276
24-02-2022,24-02-2022,17000,CE,359.82,388108
24-02-2022,24-02-2022,17000,PE,387.7,205264
24-02-2022,24-02-2022,17050,CE,372.9,272106
24-02-2022,24-02-2022,17050,PE,179.56,325280
24-02-2022,24-02-2022,17100,CE,74.26,384394
24-02-2022,24-02-2022,17100,PE,235.12,251347
24-02-2022,24-02-2022,17150,CE,392.16,340292
24-02-2022,24-02-2022,17150,PE,223.71,339052
24-02-2022,24-02-2022,17200,CE,210.33,337245
24-02-2022,24-02-2022,17200,PE,255.56,213925
25-02-2022,03-03-2022,22550,CE,315.79,288180
25-02-2022,03-03-2022,22550,PE,157.12,178706
25-02-2022,03-03-2022,22600,CE,289.4,441968
25-02-2022,03-03-2022,22600,PE,150.61,376858
25-02-2022,03-03-2022,22650,CE,20.46,198896
25-02-2022,03-03-2022,22650,PE,200,404761
25-02-2022,03-03-2022,22700,CE,311.87,71327
25-02-2022,03-03-2022,22700,PE,348.87,187740
25-02-2022,03-03-2022,22750,CE,291.23,279528
25-02-2022,03-03-2022,22750,PE,313.53,59456
28-02-2022,03-03-2022,18250,CE,357.11,209225
28-02-2022,03-03-2022,18250,PE,298.92,161850
28-02-2022,03-03-2022,18300,CE,105.52,378167
28-02-2022,03-03-2022,18300,PE,159.29,50411
28-02-2022,03-03-2022,18350,CE,257.16,372591
28-02-2022,03-03-2022,18350,PE,96.03,467413
28-02-2022,03-03-2022,18400,CE,228.17,321937
28-02-2022,03-03-2022,18400,PE,382.09,359004
28-02-2022,03-03-2022,18450,CE,336.24,400587
28-02-2022,03-03-2022,18450,PE,246.37,460744
01-03-2022,03-03-2022,16350,CE,161.51,275812
01-03-2022,03-03-2022,16350,PE,375.82,170251
01-03-2022,03-03-2022,16400,CE,69.98,334988
01-03-2022,03-03-2022,16400,PE,81.9,66490
01-03-2022,03-03-2022,16450,CE,325.89,465809
01-03-2022,03-03-2022,16450,PE,200.49,371449
01-03-2022,03-03-2022,16500,CE,207.44,451294
01-03-2022,03-03-2022,16500,PE,93.88,129422
01-03-2022,03-03-2022,16550,CE,315.09,146362
01-03-2022,03-03-2022,16550,PE,369.41,16810
02-03-2022,03-03-2022,16400,CE,176.76,294589
02-03-2022,03-03-2022,16400,PE,27.96,68212
02-03-2022,03-03-2022,16450,CE,39.34,443979
02-03-2022,03-03-2022,16450,PE,137.9,485984
02-03-2022,03-03-2022,16500,CE,138.94,190549
02-03-2022,03-03-2022,16500,PE,285.2,295723
02-03-2022,03-03-2022,16550,CE,248.3,267052
02-03-2022,03-03-2022,16550,PE,310.74,12833
02-03-2022,03-03-2022,16600,CE,155.15,362084
02-03-2022,03-03-2022,16600,PE,346.83,371196
03-03-2022,03-03-2022,22000,CE,65.74,484167
03-03-2022,03-03-2022,22000,PE,272.18,488807
03-03-2022,03-03-2022,22050,CE,335.22,320236
03-03-2022,03-03-2022,22050,PE,221.9,475204
03-03-2022,03-03-2022,22100,CE,330.54,334702
03-03-2022,03-03-2022,22100,PE,88.59,172810
03-03-2022,03-03-2022,22150,CE,48.79,292724
03-03-2022,03-03-2022,22150,PE,120.97,156767
03-03-2022,03-03-2022,22200,CE,345.01,282568
03-03-2022,03-03-2022,22200,PE,181.71,93233
04-03-2022,10-03-2022,16650,CE,169.32,368386
04-03-2022,10-03-2022,16650,PE,389.86,121286
04-03-2022,10-03-2022,16700,CE,175.35,132192
04-03-2022,10-03-2022,16700,PE,269.28,405692
04-03-2022,10-03-2022,16750,CE,103.57,73296
04-03-2022,10-03-2022,16750,PE,93.09,487880
04-03-2022,10-03-2022,16800,CE,29.32,90885
04-03-2022,10-03-2022,16800,PE,68.5,143206
04-03-2022,10-03-2022,16850,CE,310.5,247181
04-03-2022,10-03-2022,16850,PE,373.76,372122
07-03-2022,10-03-2022,17800,CE,155.64,424764
07-03-2022,10-03-2022,17800,PE,12.65,13275
07-03-2022,10-03-2022,17850,CE,13.04,330516
07-03-2022,10-03-2022,17850,PE,280.83,320278
07-03-2022,10-03-2022,17900,CE,389.87,49648
07-03-2022,10-03-2022,17900,PE,23.12,367205
07-03-2022,10-03-2022,17950,CE,33.96,185057
07-03-2022,10-03-2022,17950,PE,172.93,446093
07-03-2022,10-03-2022,18000,CE,69.91,34905
07-03-2022,10-03-2022,18000,PE,171.14,240842
08-03-2022,10-03-2022,19650,CE,35.2,251090
08-03-2022,10-03-2022,19650,PE,198.14,439818
08-03-2022,10-03-2022,19700,CE,352.64,251185
08-03-2022,10-03-2022,19700,PE,339.81,244530
08-03-2022,10-03-2022,19750,CE,69.43,160742
08-03-2022,10-03-2022,19750,PE,310.61,363040
08-03-2022,10-03-2022,19800,CE,230.62,65488
08-03-2022,10-03-2022,19800,PE,116.35,178486
08-03-2022,10-03-2022,19850,CE,102.26,446212
08-03-2022,10-03-2022,19850,PE,125.77,176457
09-03-2022,10-03-2022,16250,CE,59.79,159266
09-03-2022,10-03-2022,16250,PE,297.82,397462
09-03-2022,10-03-2022,16300,CE,308.86,274228
09-03-2022,10-03-2022,16300,PE,211.47,104889
09-03-2022,10-03-2022,16350,CE,239.17,318550
09-03-2022,10-03-2022,16350,PE,297.86,333057
09-03-2022,10-03-2022,16400,CE,296.26,116428
09-03-2022,10-03-2022,16400,PE,220.8,314147
09-03-2022,10-03-2022,16450,CE,160.07,169067
09-03-2022,10-03-2022,16450,PE,224.74,239306
10-03-2022,10-03-2022,17350,CE,321.92,108660
10-03-2022,10-03-2022,17350,PE,104.78,145279
10-03-2022,10-03-2022,17400,CE,114.53,314793
10-03-2022,10-03-2022,17400,PE,112.76,202871
10-03-2022,10-03-2022,17450,CE,233.52,73775
10-03-2022,10-03-2022,17450,PE,125.84,187345
10-03-2022,10-03-2022,17500,CE,334.78,159996
10-03-2022,10-03-2022,17500,PE,221.01,340335
10-03-2022,10-03-2022,17550,CE,261.84,319420
10-03-2022,10-03-2022,17550,PE,225.62,222757
11-03-2022,17-03-2022,16800,CE,11.07,442592
11-03-2022,17-03-2022,16800,PE,104.19,125549
11-03-2022,17-03-2022,16850,CE,342.51,355336
11-03-2022,17-03-2022,16850,PE,158.23,260806
11-03-2022,17-03-2022,16900,CE,56.47,365472
11-03-2022,17-03-2022,16900,PE,116.92,176293
11-03-2022,17-03-2022,16950,CE,176.8,232949
11-03-2022,17-03-2022,16950,PE,252.45,90885
11-03-2022,17-03-2022,17000,CE,301.49,210521
11-03-2022,17-03-2022,17000,PE,237.67,134524
14-03-2022,17-03-2022,17200,CE,141.33,331624
14-03-2022,17-03-2022,17200,PE,245.56,77917
14-03-2022,17-03-2022,17250,CE,354.56,146529
14-03-2022,17-03-2022,17250,PE,270.05,426181
14-03-2022,17-03-2022,17300,CE,60.04,448560
14-03-2022,17-03-2022,17300,PE,125.77,125415
14-03-2022,17-03-2022,17350,CE,118.35,472508
14-03-2022,17-03-2022,17350,PE,276.24,268815
14-03-2022,17-03-2022,17400,CE,181.92,287807
14-03-2022,17-03-2022,17400,PE,384.82,443649
15-03-2022,17-03-2022,18650,CE,372.71,492985
15-03-2022,17-03-2022,18650,PE,16.46,487433
15-03-2022,17-03-2022,18700,CE,194.09,377584
15-03-2022,17-03-2022,18700,PE,288.28,297229
15-03-2022,17-03-2022,18750,CE,135.47,140802
15-03-2022,17-03-2022,18750,PE,385.89,21677
